Nome,Estrelas,Avaliações,Cozinha,Preço,Segurança,Reviews
 Dona Vitamina,4.5,928,"Brasileira, Saudável",2.5,0,"['“Bebidas gostosas”', '“Muito gostoso!”']"
 Raful,4.5,764,"Libanesa, Oriente Médio",1.0,0,"['“Melhor restaurante árabe de São Paulo!”', '“A melhor experiência que já tive!”']"
 Recanto Vegetariano,4.5,204,"Brasileira, Saudável",2.5,0,"['“Vá!!”', '“Excelente opção!”']"
 Chef Rouge Bistrot Gourmand,4.5,690,Francesa,4.0,0,"['“Elegante e Sofisticado”', '“Tudo impecável. Incrível como fomos bem...”']"
 Tulsi Indian Cuisine,4.5,250,"Indiana, Internacional",2.5,0,"['“UM ÓTIMO LUGAR PARA IR”', '“Delivery”']"
 Nambu Cozinha de Raiz,4.5,475,"Brasileira, Saudável",2.5,0,"['“Almoço”', '“A melhor moqueca de SP😋tb”']"
 Nutrisom Restaurante Vegetariano,4.5,184,"Brasileira, Sul-americana",2.5,0,"['“tradicional restaurante vegetariano”', '“Melhorou o que ja era excelente”']"
 Che Bárbaro,4.5,461,"Steakhouse, Argentina",2.5,0,"['“O melhor”', '“Uma das melhores carnes de São Paulo”']"
 Karaokê Box Porque Sim,4.5,658,"Japonesa, Sushi",1.0,0,"['“Excelente lugar, super agradável”', '“Lamen saboroso com um ótimo preço!”']"
 Praça São Lourenço,4.5,1652,"Brasileira, Internacional",4.0,0,"['“EXCELENTE AMBIENTE, EXCELENTE COMIDA...”', '“Atendimento e comida excelente!”']"
 A Bela Sintra,4.5,896,"Frutos do mar, Mediterrânea",4.0,0,"['“Top!!!”', '“bom! mas...”']"
 Tanka Restaurante,4.5,1072,"Chinesa, Japonesa",2.5,1,"['“Fartura e qualidade”', '“Ótimo restaurante oriental”']"
 Mexicaníssimo,4.5,194,"Mexicana, Latina",1.0,1,"['“Perfeito comida mexicana autêntica comida...”', '“Maravilhosoo”']"
 Casa de Francisca,4.5,247,"Brasileira, Contemporânea",2.5,0,"['“O ambiente é interessante”', '“Comida e Local agradável”']"
 Restaurante Fasano,4.5,884,"Italiana, Europeia",4.0,1,"['“Bom mas falta pão sem glúten (e é caro...”', '“Muito bom”']"
 Kinoshita,4.5,923,"Japonesa, Frutos do mar",4.0,0,"['“Magnífico!!”', '“Experiência única”']"
 Sainte Marie Gastronomia,4.5,751,"Libanesa, Oriente Médio",2.5,0,"['“Sempre fantástico”', '“Libanês imperdível !”']"
 Tordesilhas,4.5,656,"Brasileira, Sul-americana",2.5,0,"['“Excelente!!!!”', '“Constrangedor!!!”']"
 Cruzeiro's Bar,4.5,406,"Brasileira, Bar",2.5,0,"['“Amamos a oportunidade de almoçar”', '“Porções fartas e gostosas”']"
 Dr,4.5,495,"Steakhouse, Churrasco",2.5,0,"['“Parrilla argentina raíz, aplausos”', '“Local simples e agradável, ótimo...”']"
 Veridiana Pizza,4.5,1648,Brasileira,2.5,0,"['“Expectativas excedidas! Muito bom!”', '“Excelente”']"
 Tandoor,4.5,1244,"Indiana, Asiática",2.5,1,"['“O melhor indiano do Brasil!!!”', '“Culinária indiana de verdade”']"
 Marilyn Brewhouse & Parrilla,5.0,76,"Bar, Grelhados",2.5,0,"['“Um achado surpreendente”', '“Apaixonada por esse restaurante”']"
 Jojo Ramen,4.5,562,"Japonesa, Asiática",2.5,0,"['“Sempre um grnde sabor”', '“Lamen incrível e seguro”']"
 Nakka Jardins,4.5,324,"Japonesa, Sushi",2.5,0,"['“Melhor Sushi que já comi”', '“Melhor de Sp!”']"
 Due Cuochi Cucina - Itaim,4.5,2206,"Italiana, Mediterrânea",4.0,0,"['“Sempre espetacular .\nHoje”', '“Sem surpresas”']"
 Trattoria Tavolino,4.5,237,Italiana,2.5,0,"['“Super Aconchegante”', '“Excelente local e atendimento!”']"
 Gopala,4.5,466,Fusion,2.5,0,"['“Gopala”', '“Delicioso!!!”']"
 D,4.5,1778,Brasileira,4.0,0,"['“Experiências exóticas”', '“A lifetime experience !”']"
 Sushi Nami,4.5,386,"Japonesa, Frutos do mar",2.5,0,"['“Excelente qualidade”', '“Maravilhoso! Super recomendo!”']"
 Ripa Na Brasa Restaurante,4.5,273,Brasileira,2.5,0,"['“Comida deliciosa com preço elitizado”', '“O melhor restaurante self service do...”']"
 Bar Do Mané,4.5,755,"Brasileira, Bar",2.5,0,"['“Parada obrigatória no Mercado Municipal”', '“Sanduíche tradicional mesmo”']"
 Osaka Cocina Nikkei,4.5,717,"Japonesa, Peruana",4.0,0,"['“Qualidade e sabor sem igual!”', '“Bom japones”']"
 Restaurante Portal da Coréia,4.5,260,"Asiática, Coreana",2.5,0,"['“Ótima comida”', '“O Melhor Coreano de São Paulo”']"
 Graça Mineira,4.5,538,"Brasileira, Pub com cerveja artesanal",2.5,1,"['“Delivery × Covid”', '“Comida saborosa”']"
 Ton Hoi,4.5,351,Chinesa,2.5,0,"['“Comida do takeaway ficou abaixo das...”', '“Melhor chinês de Sampa!!”']"
 Restaurante El Tranvia,4.5,807,"Steakhouse, Latina",4.0,0,"['“Ancho ou Chorizo?”', '“Excelente Uruguaio”']"
 12 Burger & Beer,4.5,314,"Bar, Lanchonete",2.5,0,"['“Variedades”', '“HAMBURGER DE VERDADE”']"
 Leggera Pizza Napoletana,4.5,356,"Italiana, Pizza",2.5,0,"['“Jantar em família”', '“NAPULE”']"
 Lagoa Tropical,4.5,211,Brasileira,1.0,0,"['“Nem parece ser vegetariano.....”', '“Comida deliciosa”']"
 Tre Bicchieri,4.5,828,Italiana,4.0,0,"['“O melhor Strogonoff que já comi no...”', '“Os bons tempos voltaram”']"
 Taverna Medieval,4.5,477,"Americana, Bar",2.5,0,"['“Excelente via delivery!”', '“Jantar especial”']"
 Jui,4.5,114,"Asiática, Malaia",2.5,0,"['“A opção diferentona”', '“Surpresa inesperada”']"
 Z Deli Sandwich Shop,4.5,1121,"Americana, Fast food",2.5,0,"['“Experiencia excelente”', '“Pedimos 2 lanches e batata”']"
 Modern Mamma Osteria,4.5,989,Italiana,2.5,0,"['“Restaurante maravilhoso”', '“Mais uma vez perfeito! Já”']"
 Skye Bar & Restaurante,4.5,2805,"Japonesa, Bar",4.0,0,"['“Lugar bacana, mas espera mais!”', '“Ótimo”']"
 Graça Di Napolli,4.5,325,"Italiana, Pizza",2.5,0,"['“Pizza mediana”', '“Enviam pizzas queimadas, falta item, não...”']"
 Ráscal,4.5,2198,"Italiana, Brasileira",2.5,0,"['“Almoço qualidade e bom preço”', '“Pizza boa, mas já foi melhor”']"
 Speranza,4.5,1368,"Italiana, Pizza",2.5,0,"['“Vale a pena”', '“Sempre maravilhosa”']"
 Mestiço,4.5,1445,"Brasileira, Asiática",2.5,0,"['“Parada obrigatória.\nUm dos”', '“Experiência surpreendente!”']"
 Academia da Gula,4.5,210,"Bar, Europeia",2.5,0,"['“Sexta Feira dia de Rabada”', '“Legítimo português super acessível”']"
 Bar e Lanches Estadão,4.5,1333,"Brasileira, Bar",1.0,0,"[""“Lanche de Pernil? O melhor de SP'”"", '“Bar Estadão”']"
 Figueira Rubayat,4.5,7960,"Steakhouse, Brasileira",4.0,0,"['“Maravilhoso”', '“Experiência incrível”']"
 Corrientes 348,4.5,420,"Steakhouse, Churrasco",4.0,0,"['“Carne Suculenta”', '“Fui a este restaurante com”']"
 Johnny Rockets,4.5,1204,"Americana, Bar",2.5,0,"['“Atendimento nota 10!”', '“Avaliação”']"
 Veloso Bar,4.5,1907,Brasileira,2.5,0,"['“Uma experiência fantástica.”', '“Atendimento de Primeira”']"
 Piselli,4.5,528,"Italiana, Europeia",4.0,0,"['“Simplesmente Sensacional !!!!”', '“Casa Perfeita!Imperdível!”']"
 Pobre Juan - Vila Olímpia,4.5,1112,"Steakhouse, Latina",4.0,0,"['“Atendimento de primeira”', '“Maravilhoso”']"
 Zucco Cucina,4.5,427,"Italiana, Europeia",4.0,0,"['“SEMPRE EXCELENTE”', '“muito bom, mesmo!”']"
 Margherita Pizzeria,4.5,1621,Pizza,2.5,0,"['“A melhor pizza que já comi”', '“Visita em familia”']"
 Lanchonete Dizzy Vila Maria,4.5,328,"Americana, Brasileira",2.5,0,"['“Um dos melhores hamburguês de SP”', '“Situação inconveniente”']"
 Rascal,4.5,542,"Italiana, Brasileira",2.5,0,"['“Excelente atendimento”', '“Excelente comida e atendimento”']"
 Restaurante Kleine-Gasse,5.0,78,Alemã,2.5,1,"['“Excelente restaurante”', '“incrivel tudo nesse restaurante”']"
 Bráz Pizzaria,4.5,1449,"Italiana, Pizza",2.5,0,"['“Pizza incrível sem dúvidas”', '“Pizzas excelentes, serviço eficiente.”']"
 Paellas Pepe,4.5,657,"Frutos do mar, Mediterrânea",2.5,0,"['“Comida deliciosa”', '“Espetáculo de atendimento,local e pratos.”']"
